FSC-A	FSC-H	SSC-A	SSC-H	CD16 FITC	CD56 PE	DAPI	Time	Plate#	Well position	Sample name
117792.0	75418.0	59315.62	37679.0	699.78	183.59999	188.68	67867.4	LCE123	I8	NKC_085
108460.8	65709.0	91603.6	55503.0	1172.8401	25.5	150.41	68237.8	LCE123	I9	NKC_085
112556.695	75997.0	50147.633	32546.0	510.12003	9.18	63.19	69003.9	LCE123	I10	NKC_085
109659.59	70016.0	61890.203	38002.0	1815.9401	114.24	132.61	69390.4	LCE123	I11	NKC_085
113189.4	66086.0	78115.945	48779.0	545.0	114.24	130.83	70484.4	LCE123	I12	NKC_085
181504.8	100245.0	112940.35	62661.0	103.55	77.52	153.97	70685.8	LCE123	I13	NKC_085
156011.39	92052.0	88526.53	55739.0	101.37	61.199997	129.94	70859.8	LCE123	I14	NKC_085
156208.5	88536.0	111865.62	66899.0	94.83	110.159996	171.77	71045.0	LCE123	I15	NKC_085
129510.0	83195.0	74631.21	48834.0	99.19	56.1	177.11	71216.6	LCE123	I16	NKC_085
154481.39	85218.0	105791.05	56509.0	126.44	170.34	126.38	71397.4	LCE123	I17	NKC_085
143692.2	75505.0	135346.39	74551.0	186.39	64.26	123.71	71588.5	LCE123	I18	NKC_085
107504.09	70372.0	46307.562	30810.0	80.66	38.76	100.57	71766.6	LCE123	I19	NKC_085
66908.695	53730.0	20829.9	15269.0	668.17004	5055.12	25.81	71970.9	LCE123	I20	NKC_085
82078.195	65370.0	33121.832	26304.0	4769.8403	3399.66	10.68	72269.7	LCE123	I21	NKC_085
74315.695	60277.0	24849.82	20298.0	768.45	8415.0	-77.43	72850.7	LCE123	I22	NKC_085
148333.5	84831.0	88543.98	50503.0	515.57	823.14	192.23999	73191.8	LCE123	I23	NKC_085
77390.1	61564.0	25676.041	20299.0	1156.49	16529.1	23.14	73859.2	LCE123	I24	NKC_085
82420.195	65284.0	30273.66	23682.0	954.84	6674.88	34.71	74241.7	LCE123	J24	NKC_085
74070.9	60476.0	25354.49	19499.0	4391.6104	1479.0	20.47	74490.8	LCE123	J23	NKC_085
96039.9	69186.0	44986.48	30110.0	1450.79	9553.319	-149.52	74680.9	LCE123	J22	NKC_085
67990.5	55837.0	28020.63	22791.0	1807.2201	5368.26	38.27	75073.6	LCE123	J21	NKC_085
62302.5	51179.0	21514.42	17487.0	571.16003	6395.4	23.14	75308.5	LCE123	J20	NKC_085
100231.195	58681.0	113345.836	54422.0	77.39	40.8	109.47	75464.1	LCE123	J19	NKC_085
113138.09	78002.0	58740.1	38922.0	64.310005	37.739998	54.29	75625.3	LCE123	J18	NKC_085
165294.0	89557.0	96066.06	56972.0	95.920006	74.46	118.369995	75818.6	LCE123	J17	NKC_085
132546.6	80665.0	135734.44	85927.0	154.78	106.08	209.15	75994.9	LCE123	J16	NKC_085
108698.4	74387.0	69333.81	44197.0	70.85	31.619999	138.84	76178.6	LCE123	J15	NKC_085
62361.0	52314.0	23472.06	20098.0	75.21	39.78	46.28	76366.3	LCE123	J14	NKC_085
179262.0	102573.0	102166.8	55607.0	107.91	80.58	163.76	76558.8	LCE123	J13	NKC_085
95961.59	65824.0	57554.184	42043.0	661.63	40.8	77.43	76750.2	LCE123	J12	NKC_085
134571.6	85031.0	82866.164	56962.0	1151.04	190.73999	206.48	77015.4	LCE123	J11	NKC_085
78460.195	64563.0	24094.451	18810.0	2160.3801	130.56	14.24	77654.1	LCE123	J10	NKC_085
186039.89	94777.0	152225.05	85290.0	550.45	132.59999	246.53	78511.7	LCE123	J9	NKC_085
156843.89	81239.0	144024.97	82574.0	510.12003	186.66	237.62999	78738.3	LCE123	J8	NKC_085
117967.5	73975.0	83355.57	54673.0	2582.21	97.92	129.05	80093.2	LCE123	J7	NKC_085
141552.89	78692.0	118912.46	67555.0	4006.84	213.18	220.72	81684.4	LCE123	J6	NKC_085
76309.195	61081.0	28610.32	22142.0	43.600002	13329.359	31.15	81838.9	LCE123	J5	NKC_085
97135.195	70567.0	39354.453	28631.0	93.740005	20414.28	32.93	82026.1	LCE123	J4	NKC_085
82888.195	63924.0	47864.082	35486.0	138.43001	39355.68	25.81	82215.4	LCE123	J3	NKC_085
122415.3	80528.0	59494.383	38132.0	128.62001	22191.12	48.95	82427.5	LCE123	J2	NKC_085
121099.5	72405.0	52417.01	33048.0	112.270004	29213.82	110.36	82613.0	LCE123	J1	NKC_085
120102.3	81073.0	47448.793	29310.0	65.4	14748.18	90.78	82805.1	LCE123	K1	NKC_085
91027.8	69853.0	29254.512	20993.0	55.59	19192.32	43.61	83002.5	LCE123	K2	NKC_085
